INSTITUCION;COD_IPRESS;NOMBRE;CLASIFICACION;TIPO_ESTABLECIMIENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIRECCION;CO_DISA;COD_RED;COD_MICRORRED;DISA;RED;MICRORED;COD_UE;UNIDAD_EJECUTORA;CATEGORIA;TELEFONO;HORARIO;INICIO_ACTIVIDAD;ESTADO;NORTE;ESTE;IMAGEN_1;FE_ACT_IMAGEN_1;IMAGEN_2;FE_ACT_IMAGEN_2;IMAGEN_3;FE_ACT_IMAGEN_3
GOBIERNO REGIONAL;3252;4 DE NOVIEMBRE;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. RUBEN DARIO Nº 257 - BARRIO 4 DE NOVIEMBRE;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-3;950814729;7:00 - 19:00;22/04/1986;ACTIVO;-15.82486667;-70.02903167;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159889840.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159930961.png;
GOBIERNO REGIONAL;3255;VALLECITO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;BARRIO VALLECITO;29;150;967;PUNO;PUNO;METROPOLITANO;919;SALUD PUNO;I-3;352790;7:00 - 19:00;23/04/1986;ACTIVO;-15.82941167;-70.020545;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158780822.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158834490.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3255_29378523_1435158844695.png;
GOBIERNO REGIONAL;3257;HABITH HUMANITY;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. TIQUILLACA KM.6;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-2;980726407;7:00 - 19:00;20/12/1993;ACTIVO;-15.82056667;-70.05205833;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161570631.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161686334.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3257_29378523_1435161708331.png;24/06/2015 00:00
GOBIERNO REGIONAL;3261;LOS UROS;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ISLA FLOTANTE UROS;29;150;967;PUNO;PUNO;METROPOLITANO;919;SALUD PUNO;I-1;950790430;8:00 - 14:00;20/02/1990;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20181128211916.jpg;;;;;
GOBIERNO REGIONAL;3262;LLAVINI;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;919;SALUD PUNO;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
GOBIERNO REGIONAL;3265;SIMON BOLIVAR;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ASENTAMIENTO HUIMANO SIMON BOLIVAR MANZANA Ñ LOTE 9;29;150;969;PUNO;PUNO;SIMON BOLIVAR;919;SALUD PUNO;I-3;051-352378;7:00 - 19:00;22/04/1986;ACTIVO;-15.86454333;-70.01235833;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163624508.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163709277.png;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3265_29378523_1435163723447.png;
GOBIERNO REGIONAL;3266;VIRGEN DE LA CANDELARIA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ALTO PUNO;29;150;968;PUNO;PUNO;JOSE ANTONIO ENCINAS;919;SALUD PUNO;I-2;957493183;7:00 - 19:00;30/01/1996;ACTIVO;-15.82896833;-70.03500167;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160398031.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160413329.png;24/06/2015 00:00;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3266_29378523_1435160456932.png;24/06/2015 00:00
GOBIERNO REGIONAL;3267;YANAMAYO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;919;SALUD PUNO;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
PRIVADO;30247;"CENTRO MEDICO ESPECIALIZADO EN GASTROENTEROLOGIA Y ENDOSCOPIA DIGESTIVA ""ENDOGASTRO""";CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;PEDRO MIGUEL URBINA 1ER PISO;29;;;PUNO;;;;;I-3;972709361;07:30 - 19:30;26/07/2021;ACTIVO;-15.8470452;-70.0235465;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110836.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110842.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241009110849.jpeg;
SANIDAD DE LA POLICIA NACIONAL DEL PERU;10235;POLICLINICO DE SALUD PNP-PUNO;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. JULIACA S/N ALTO HUASCAR;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;051-364512;07:30 - 19:30;6/06/1965;ACTIVO;-15.8416987;-70.0201942;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20190725083024.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20190725083036.jpg;;;
GOBIERNO REGIONAL;3256;MARCA JILAPUNTA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;ACTUALIZAR;;150;962;;PUNO;PUNO;;;0;ACTUALIZAR;ACTUALIZAR;1/01/1900;BAJA DEFINITIVA;;;;;;;;
PRIVADO;29156;policlinico virgen de guadalupe sur S.A.C;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;salcedo;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;999931050;8:00 - 18:00;10/12/2020;ACTIVO;-15.8437999;-70.0271981;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20240225161109.jpeg;;;;;
PRIVADO;18037;CLINICA VIDA SALUD OCUPACIONAL Y MEDICINA COMPLEMENTARIA;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR CARABAYA N°152;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-355654;9:00 A 21:00;10/02/2014;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;17967;SOL SALUD;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. EL SOL 1494;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;949799861;7:00 - 21:00;28/01/2014;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;11636;BELLADENTIS;CENTRO ODONTOLOGICO;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV.LAYKAKOTA Nº 147  SEGUNDO PISO - Nº 8;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-1;999029869;9:00 - 18:00;19/01/2011;ACTIVO;-15.84648715;-70.02147141;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250409153216.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250409153231.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250409153240.jpg;
PRIVADO;11422;INSTITUTO DE MEDICINA BIOLOGICA NATURAL BIOSALUD;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON LAMPA Nº 441 -PUNO;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;951-563033;9:00 - 19:00;15/05/2009;CIERRE TEMPORAL DE OFICIO;;;;;;;;
ESSALUD;11815;CENTRO DE ATENCIÓN DE MEDICINA COMPLEMENTARIA;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. LAMPA 156. BARRIO BELLAVISTA;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-364464;LUNES A VIERNES 08:0;1/06/1999;ACTIVO;;;;;;;;
PRIVADO;30221;CLINICA ESPECIALIZADA DENTAL MERCADO ODONTOLOGIA DE ALTA CALIDAD E.I.R.L.;CENTRO ODONTOLOGICO;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;PARDO;;;;;;;;;I-2;989071293;09:00 - 20:00;2/08/2021;CIERRE TEMPORAL DE OFICIO;-15.8360856;-70.0302132;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20210813140034.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20210813140127.jpeg;;;
PRIVADO;9263;CENTRO ODONTOLOGICO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON CANDELARIA Nº 162;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-1;051-951762227;16.00 . 21.00;23/08/2009;ACTIVO;;;;;;;;
PRIVADO;8878;CENTRO MEDICO VIRGEN DE CANCHARANI S.R.L.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON HUANCANÉ 308 CERCADO;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-365653;8:00 - 17:00;1/06/2008;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10245;CENTRO ODONTOLOGICO CALIDADENT;CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON DEUSTUA Nº109 - SEGUNDO PISO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-783103;9.00 - 20.00;1/03/2010;ACTIVO;;;;;;;;
PRIVADO;8879;CENTRO MEDICO SEÑOR DE LOS MILAGROS S.A.C.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON LIMA Nº 854-  SEGUNDO PISO;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-351731;8:00 - 18:00;12/10/2009;CIERRE TEMPORAL DE OFICIO;;;;;;;;
ESSALUD;9215;HOSPITAL BASE III  PUNO - RED ASISTENCIAL PUNO;HOSPITALES O CLINICAS DE ATENCION GENERAL;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. FRANCISCO CACERES JARA Nº 600 - DEL PARQUE INDUSTRIAL SALCEDO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;II-2;51352661;24 HORAS;24/08/1974;ACTIVO;-15.87305667;-69.99991;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241217115009.jpg;;;;;
PRIVADO;25265;CENTRO MEDICO SAN REMO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;TACNA;29;;;PUNO;;;;;I-3;951603160;08:00 - 18:00 ;2/02/2018;ACTIVO;-15.84040242;-70.02546393;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180501094125.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180501094129.jpg;;;
PRIVADO;8918;CENTRO MEDICO CORDOBA E.I.R.L.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. AREQUIPA 827;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-366876;8:30 A.M. - 3:00 P.M;9/10/1997;ACTIVO;;;;;;;;
SANIDAD DE LA MARINA DE GUERRA DEL PERU;10079;POSTA NAVAL DE LA CAPITANIA DE PUERTO DE PUNO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV EL SOL 725 BARRIO PORTENO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-2;51951601874;8:00 - 17:00;1/12/1991;ACTIVO;;;;;;;;
PRIVADO;9770;MEDICENTRO TOURIST´S  HEALTH;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON MOQUEGUA Nº 191;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-3;051-777105;8:00 - 20:00;23/10/2006;ACTIVO;-15.83852;-70.02684;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171108191346.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171108191358.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171108191422.jpg;
PRIVADO;10124;CENTRO MEDICO ESPECIALIZADO;CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. TACNA Nº 907 BARRIO VICTORIA;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-368855;4:00 - 20:00;12/06/2002;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10253;CONSULTORIO NATURISTA AZTOR;CENTROS DE MEDICINA ALTERNATIVA;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;JR. PILCUYO Nº 135;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-053380;7:00 - 17:00;2/05/1985;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10139;CARDIOCENTRO SUR E.I.R.L.;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. AREQUIPA Nº 429;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;951770599;8:00 -20:00;1/07/2008;CIERRE TEMPORAL DE OFICIO;-15.84095953;-70.02310483;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180505212342.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180505212354.jpg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180505212402.jpg;
PRIVADO;10040;"CENTRO ODONTOLOGICO ""ODONTOART""";CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. TACNA Nº 139 - TERCER PISO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-786251;9:00- 21:00;3/04/2009;ACTIVO;;;;;;;;
PRIVADO;9877;CENTRO MEDICO ESPECIALIZADO EN DIAGNOSTICO;CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. MOQUEGUA Nº 571 - PUNO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-353175;8:00 - 20:00;15/04/2001;ACTIVO;;;;;;;;
PRIVADO;10121;OXIGEN MEDICAL NETWORK EIRL;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON LAMBAYEQUE Nº 261;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-364960;24 HORAS;15/04/2009;ACTIVO;;;;;;;;
PRIVADO;10122;"CENTRO ODONTOLOGICO ""SAYUMA""";CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. 20 DE JULIO Nº 136 URBANIZACION CHANU CHANU;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-950798453;9:00 - 20:00;20/07/2008;ACTIVO;;;;;;;;
GOBIERNO REGIONAL;9190;PUESTO DE SALUD HABITH HUMANITY-PUNO;PUESTOS DE SALUD O POSTAS DE SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;CIUDAD LA HUMANIDAD TOTORANI KILOMETRO 6;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-1;951-352753;8.00 - 18.00;20/12/1993;BAJA DEFINITIVA;;;;;;;;
PRIVADO;10572;ODAM DENTAL GROUP S.A.C.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. TACNA 516;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;51-368028;9.30-12.00   15.30-2;2/08/2010;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10167;CONSULTORIOS ESPECIALIZADOS;CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. EL SON Nº 1023 2DO PISO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-951310948;9:00 - 18:00;10/05/2008;ACTIVO;;;;;;;;
PRIVADO;10078;CENTRO MEDICO MI ANGEL;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AV. EL SOL Nº 1371;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;01-975375044;24 HORAS;1/01/2010;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10032;SERVICIOS MEDICOS SAN ANTONIO SAC.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. AREQUIPA Nº 898;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-352488;8:00 - 15:00;30/06/2004;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;10379;CENTRO  ODONTOLOGICO AMERICANO - PUNO;CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON DEUSTUA 754;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-1;(051)-366390;9:00- 20:00;29/01/2004;ACTIVO;-15.8410613;-70.0301656;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250630173341.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250630173344.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250630173347.jpeg;
PRIVADO;9683;CLINICA PROSALUD;CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR JOSE CARLOS MARIATEGUI 253;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-4;(51) 951924381;08:00 - 20:00;1/10/2007;ACTIVO;-15.83309731;-70.02168738;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20241018101642.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180514062341.JPG;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180514062912.JPG;
PRIVADO;10037;CENTRO ODONTOLOGICO CONFIDENT;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JR. TACNA Nº 230 - 2DO PISO;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-364553;9:00 -21:00;15/01/2009;ACTIVO;;;;;;;;
PRIVADO;20703;CENTRO MEDICO PACIFICO DEL SUR E.I.R.L.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON HUANCANE N° 309;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-354814;8:00 - 18:00;22/06/2015;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;19188;"CLÍNICA INTERNACIONAL ""LAS KALAS""";HOSPITALES O CLINICAS DE ATENCION GENERAL;ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRÓN TACNA 890;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;0;051-354235;24 HORAS;2/02/2013;CIERRE TEMPORAL DE OFICIO;;;;;;;;
PRIVADO;24950;CENTRO MEDICO SAN ANTONIO DE AQUINO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AREQUIPA;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-3;965150631;8:00 - 18:00;25/02/2018;CIERRE TEMPORAL DE OFICIO;-15.8418887;-70.02657168;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180523160016.jpg;;;;;
PRIVADO;24930;CONSULTORIO ODONTOLOGICO STETIC DENT;CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;puno;29;0;0;PUNO;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-1;940191924;9:00 - 20:00;11/01/2018;ACTIVO;;;;;;;;
PRIVADO;24439;CENTRO MEDICO BEDNA NIÑO JESUS;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AREQUIPA;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-3;51620054;08:00 - 17:00;27/12/2016;CIERRE TEMPORAL DE OFICIO;-15.84148617;-70.02659046;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180601090540.jpg;;;;;
