INSTITUCION;COD_IPRESS;NOMBRE;CLASIFICACION;TIPO_ESTABLECIMIENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIRECCION;CO_DISA;COD_RED;COD_MICRORRED;DISA;RED;MICRORED;COD_UE;UNIDAD_EJECUTORA;CATEGORIA;TELEFONO;HORARIO;INICIO_ACTIVIDAD;ESTADO;NORTE;ESTE;IMAGEN_1;FE_ACT_IMAGEN_1;IMAGEN_2;FE_ACT_IMAGEN_2;IMAGEN_3;FE_ACT_IMAGEN_3
PRIVADO;12373;POLICLINICO SAN CARLOS V. E.I.R.L.;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;JIRON   LIMA Nº 854;;0;0;;NO PERTENECE A NINGUNA RED;NO PERTENECE A NINGUNA MICRORED;;;I-3;(51) 354093;8:00 - 18:00;8/02/2011;CIERRE TEMPORAL DE OFICIO;-15.841849;-70.02733;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20180724103043.jpg;;;;;
PRIVADO;29451;LABORATORIO ORION;PATOLOGIA CLINICA;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;lima;29;;;PUNO;;;;;0;951599873;8:00 a 21:00;2/03/2001;ACTIVO;-15.83758348;-70.02835948;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20200529151239.jpeg;;;;;
OTRO;30932;MEDICAL CENTER OXIMEDIC SACS;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;CORONEL BARRIGA;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-3;51-622164;06:00-22:00;6/01/2022;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220107144934.jpg;;;;;
PRIVADO;30207;CENTRO MEDICO LOS UROS S.A.C.;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;LIMA;;;0;;;NO PERTENECE A NINGUNA MICRORED;;;I-3;996120358;08:00 - 18:00;26/07/2021;CIERRE TEMPORAL DE OFICIO;;;;;;;;
OTRO;29716;DENTAL LEOBLANCO;CENTRO ODONTOLOGICO;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;TACNA;29;;0;PUNO;;NO PERTENECE A NINGUNA MICRORED;;;I-1;953278909;09:00 - 20:00;1/04/2021;ACTIVO;-15.84528698;-70.02218091;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20200718105930.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20200718105937.jpeg;;;
PRIVADO;30879;CENTRO MEDICO CARLOS BARRIQUELO;CENTROS DE SALUD O CENTROS MEDICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;LIMA;29;;;PUNO;;;;;I-3;971504012;8:00 - 19:00;23/01/2022;ACTIVO;-15.84197293;-70.02726729;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250109112556.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250109112600.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250109112604.jpeg;
PRIVADO;31504;SERVICIOS MEDICOS SAN ANTONIO SPURS;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;AREQUIPA;;;;;;;;;I-3;979000105;8:00 - 6:00;11/04/2022;CIERRE TEMPORAL DE OFICIO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220710182747.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220710182753.jpeg;;;
PRIVADO;30933;SOUTH MEDICAL CENTRO DE EXCELENCIA EN RADIOLOGIA;DIAGNOSTICO POR IMAGENES;SERVICIO MÉDICO DE APOYO;PUNO;PUNO;PUNO;210101;TACNA;29;;;PUNO;;;;;0;922677369;7:00-18:00;6/08/2021;ACTIVO;-15.8402218;-70.0218805;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250701123903.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250701123939.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20250701124024.jpeg;
PRIVADO;30317;POL SANTA MYA SAC;POLICLINICOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;HUANCANE;;;;;;;;;I-3;995741148;08:00 A 18:00;25/09/2021;CIERRE TEMPORAL DE OFICIO;-15.84193855;-70.02665332;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20210925101705.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20210925101710.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20210925101715.jpeg;
PRIVADO;30884;SERVICIOS MEDICOS ESPECIALIZADOS UROTRAUMA CENTER;CENTROS MEDICOS ESPECIALIZADOS;ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO;PUNO;PUNO;PUNO;210101;VELA VELA;29;;;PUNO;;;;;I-3;964004490;08:00 - 20:00;11/01/2022;ACTIVO;-15.83266121;-70.01994126;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220111110100.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220111110117.jpeg;;http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20220111110123.jpeg;
